id,age,gender,country,multilingual,aut.originality.1,aut.originality.2,aut.originality,dat,problems.questions.1,problems.questions.2,problems.questions,problems.cra,problems.combined,word.1,word.2,word.3,word.4,word.5,word.6,word.7,word.8,word.9,word.10
R_bEHztu6LDU2uL0R,35,Female,Australia,FALSE,0.5,0.5,0.5,75.0832128915049,0,1,0,1,1,sponge,elephant,balloon,sandpaper,orange,air,hair,sandal,tablecloth,freckle
R_3F4huoEdiULkgUH,35,Male,Australia,FALSE,0.5,0,0.25,78.9673868744146,2,2,2,2,4,Tree,Car,Iceberg,Pilot,Sound,Planet,Elephant,Hat,Slide,Love
R_3FUOc2nN3NdPuO5,55,Male,Australia,FALSE,0.5,0,0.25,69.7281073246683,0,0,0,1,1,tree,car,rock,lake,fish,frige,broom,house,fig,rope
R_2Pp27PaBjJSn7BH,55,Male,United Kingdom of Great Britain and Northern Ireland,FALSE,1.5,1.5,1.5,69.7913931239219,1,1,1,2,3,golf club,ant,rock,jelly,concrete,lake,mountain,tree,insect,dinosaur
R_2waGiVCvb13AkOa,35,Female,Australia,FALSE,0.5,0,0.25,82.8005595664893,1,1,1,1,2,floor,game,amber,hair,road,bark,skyscraper,iguana,bottle,chasm
R_25XgDEWMQM3SwlR,35,Male,Australia,FALSE,1,1.5,1.25,81.8145940745516,1,1,1,2,3,Bones,Plastic,Waves,Stardust,Digestive ,Alacraty,Fuel,Trees,Wheel,Carrot
R_2upkvUlDy5X9kCg,26,Female,Australia,FALSE,0.5,1,0.75,73.5885985550426,1,1,1,2,3,Dark,Shallow,Iridescent,Fuzzy,Stale,Boiling,Torn,Stolen,Solid,Soiled
R_ugMJmI8xGU9C001,65,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,0,1.5,0.75,73.6719056963921,2,2,2,2,4,knife,brick,staff,shield,coat,block,armour,gun,bomb,sheath
R_vdkMKHanLa2I6PL,55,Female,Australia,FALSE,0,0.5,0.25,75.486557283217,1,1,1,1,2,chair,paint,mirror,tube,avocado,ice,sun,jade,salt,smoke
R_r6cp32Ud8GLPd2p,35,Male,Australia,FALSE,3,1.5,2.25,87.6959232347352,2,2,2,1,3,speach,cup,pencil,surfboard,anteater,moon,bottle opener,door,memory,number
R_WumEuvKjmcBZQUp,65,Female,Australia,FALSE,0,0.5,0.25,71.1271129903339,0,0,0,1,1,stress,relaxation,swimming,coffee,shopping,sleeping,television,gardening,music,volunteering
R_1BPh2IsodJNCYEQ,26,Male,Australia,TRUE,3,3,3,74.1077507003432,1,1,1,1,2,Cat,Tyre,Sky,Shirt,Picture,Finger,Cake,Coral,Net,Sheet
R_3O7aoqODlTiDUH8,35,Male,Australia,FALSE,3,1.5,2.25,87.0760521541039,1,1,1,1,2,rabbit,shoehorn,blancmange,fart,forest,tunnel,nailfile,tarmac,thermometer,rangehood
R_2wyLlcZRrWvsciQ,55,Female,Australia,FALSE,0.5,0,0.25,80.008630223927,0,0,0,1,1,Lemon,Honey,Gravel,Swimsuit ,Elephant,Gnat,Slippers,Evening gown,Eucalyptus,Peony
R_31NJ9a1CpJgf9SS,55,Male,Australia,FALSE,3,3,3,82.1911380848005,0,0,0,1,1,portcullis,ballista,cyclops,elephant,cartwright,lizard,pencil,dice,apple,ring
R_upNvb2G2k3WiQRb,70,Female,Australia,FALSE,1.5,2,1.75,79.9329365603626,1,1,1,2,3,heat,digger,wrench,carpet,envelope,fingernail,brake,roof tile,blood,deodorant
R_1IhG47SbhJPU1FI,55,Female,Australia,FALSE,0,0,0,77.5663439361822,1,1,1,2,3,snow,sand,chocolate,air,keyboard,jumper,hair,dog,rock,airconditioner
R_vDoWcxLBn7FiozD,55,Female,Australia,FALSE,0,0,0,74.2779466013114,2,2,2,2,4,Science,Bible,Gardening,Sewing,Travel,Water,Toilet,Car,Horse,Moon
R_1PT5LZ9ru5FxA4l,35,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,1.5,1.5,1.5,82.906978932165,1,1,1,2,3,Snow,Dog,Planet,Lint,Beetle,Coal,X-ray,Rum,Baby,Ghost
R_2qjGz3CCOyBrh9O,18,Female,Australia,FALSE,1,1,1,76.2956499698616,2,2,2,2,4,Nail,Wood,Letter,Table,Fire,Rock,Tomato,Phone,Nose,Sunflower
R_2c1MsaET9U41G6m,55,Male,Australia,FALSE,3,1.5,2.25,67.6013049625215,0,0,0,1,1,water,fire,vacuum,stone,dust,time,death,carpet,fish,leather
R_qCnyGc17z5KUael,26,Male,Australia,FALSE,1.5,1.5,1.5,73.1246775814465,1,1,1,1,2,cup,ice,tree,bee,cat,bat,shoe,string,paper,phone
R_1lufMEMuuXOBoyQ,26,Male,Australia,FALSE,0.5,0.5,0.5,77.7267187124207,1,1,1,2,3,tree,mineral,building,star,ocean,thought,institution,pressure,dexterity,music
R_3O1B3C3HIyQrxDp,35,Male,Australia,FALSE,1,1,1,76.7651299635569,0,0,0,1,1,Book,Dog,Boat,Rock,Tree,Cloud,Ball,Shoe,Plank,Tile
R_1NkvfjE6Vqcmtyg,55,Male,Australia,FALSE,0.5,1.5,1,81.8185248766981,2,1,1,2,3,Eye,Cow,CPU,Car,Wombat,Ocean,Ruler,Tv,Grass,Oxygen 
R_22z4Hm0o21m01fM,35,Male,Australia,FALSE,2,1.5,1.75,80.270056599485,1,1,1,2,3,Road,Dungarees,Sweat,Train,Bloke,Stick,Rice,Washer,Kiln,Board
R_2xxVVNwQjrFatkS,55,Male,Australia,FALSE,1.5,0.5,1,77.2288677947862,0,0,0,0,0,Book,Cat,Ball,Chair,Computer,Fork,Car,Tree,Wave,Mountain
R_1l0PYJgHdMgCcSB,70,Female,Australia,FALSE,0,0,0,74.7134244867733,1,1,1,1,2,Dog,Volcano,Cold,Indian,Chair,Baby,Saw,Frost,Smoke,Ship
R_Djh7OZXwgBVwGs1,55,Male,Australia,FALSE,0.5,1,0.75,83.8063266948752,2,2,2,1,3,Rabbit ,Car,Chocolate ,Turnip,River ,Ring ,Microbe,Sky,Rain,Person
R_2sR6VonW4bADmpB,65,Female,Australia,FALSE,1,1,1,76.9349694451583,1,2,1,2,3,Cow,Building,Sky,Dwarf,Luggage,Paint,Ocean,Baby,Moonscape,Fashion
R_z2tOB7TojaXAwAp,55,Male,Australia,FALSE,0,0,0,79.2670368128234,0,0,0,2,2,City,Town,Desert,Office,Iceberg,Cloud,Microbe,Planet,Brick,Tomato
R_12hd0C69vDrhult,35,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,0,0,0,73.7970661194552,0,0,0,1,1,Book ,Orange,Road,Shoe,House,Holiday,Number,Badge,Pencil,Medicine
R_2B2rVKW20VJvp7i,9,Female,Australia,TRUE,1.5,1.5,1.5,78.0059601047209,2,2,2,2,4,Sign,Fence,Book,Car,Cow,Jacket,Fog,Onion,Tree,Human
R_1ocLT7EZMx1YsVz,55,Male,Australia,FALSE,1.5,0,0.75,71.8978440477734,1,1,1,2,3,Dog,Brick,Sea,Horizon,Planet,Grain,Water,Larvae,Oil,Diamonds
R_1osPvpBWdpAtzxg,70,Female,Australia,FALSE,0,0.5,0.25,74.3260702561765,1,0,0,1,1,Cat,Door,Rubber,Watch,Foot,Seed,Thought,Gift,Air,Base
R_T5hiFNaoZYWFBMl,35,Female,Australia,FALSE,1.5,1,1.25,84.1161749351332,0,0,0,1,1,friend,plate,air,pineapple,delinquent,cardboard,painting,foot,future,hair tie
R_2QFlFbyufrpsvbK,26,Male,Australia,FALSE,1.5,2,1.75,74.7917183807918,2,2,2,1,3,Phone,Car,Building,Plane,Plain,Grass,Plant,Rose,Grandmother ,Fur
R_2bHTPUdBUne52T5,70,Female,Australia,FALSE,1.5,1,1.25,84.1587536214363,0,0,0,2,2,vegetable,road,school,sword,printer,cup,magazine,lawnmower,incense,football
R_vB2twEkxxfrFJux,13,Female,Australia,TRUE,1.5,0,0.75,82.7774296603387,0,0,0,0,0,table ,dog ,dagger,cloak,bus,diary ,brick ,dentist chair ,mircoscope ,laptop 
R_3EyzmJHh3QhikEI,65,Female,India,FALSE,0,0,0,82.0618290232406,2,2,2,0,2,Bicyle,Wind,Bus ,Textbook,Restaurant ,Pillow,Food,Network,Roadworks,Slug
R_3smPEYKrs2X8NSC,55,Male,Australia,FALSE,1.5,1.5,1.5,75.1010582560585,0,0,0,1,1,dog,Pencil,Mat,Shower,Car,Flower,Toast,Candle,Wheel,Undies
R_3dMHGjgKPqSoIjb,55,Female,Australia,FALSE,2,1,1.5,76.4956912114507,1,1,1,2,3,ocean,brain,vegetation,envelope,aeroplane ,sand,animal,balloon,clouds,luggage
R_1f14YMDarWzO09T,70,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,1.5,1.5,1.5,84.887064195105,1,1,1,2,3,Hose,Collander,Bucket,Bullet,Star,Microscope ,Hall,Lettuce ,Stone,Fridge
R_28XOUd8nrG2cmpd,35,Female,Australia,FALSE,0,0,0,69.1435045784428,1,1,1,2,3,running,jumping,drinking,licking,talking,blinking,tasting,throwing,swimming,balancing
R_23efKnUKxMDBThb,55,Male,Australia,FALSE,0.5,0,0.25,75.9966728587945,1,1,1,0,1,think,static,brood,complete,proof,evolve,find,create,task,finish
R_2wj1jMypWozKDV0,26,Female,Australia,TRUE,1.5,0,0.75,75.8575127593109,1,1,1,2,3,Dog,Kite,Chair,Book,Carpet,Stairs,Sky,Flower,Swing,Runners
R_PLHxNfAogK50xyh,26,Male,Papua New Guinea,FALSE,1,1,1,71.5785238714445,1,1,1,1,2,Chair,Hat,Scissors,Hook,Door,Iron,Clock,paint,weights,desk
R_3ESRQy8EiQN8tkv,7,Female,Chile,TRUE,1.5,1.5,1.5,75.7875552134854,1,1,1,0,1,cake,person,beetle,paper,chicken,blood,hair,flute,elephant,underpants
R_Y537FCjlnj67qAV,70,Female,Australia,FALSE,0.5,1,0.75,78.7179085309617,NA,NA,NA,1,NA,dog,kettle,tree,magnifier,sock,hedgetrimmer,scarf,table,yacht,blouse
R_2Es3er8O4rHu7PY,35,Male,Australia,FALSE,1.5,1.5,1.5,62.8472440299534,0,0,0,1,1,go ,stop,fast ,slow,white,black,tall ,short,wet ,dry
R_1eqJX7j6CiwlEPR,70,Male,United Kingdom of Great Britain and Northern Ireland,TRUE,3,3,3,79.7183797295604,0,0,0,1,1,spade,heart,banana,pleasure,fire,truth,skyscraper,dwarf,herring,fantasy
R_z6fJGQqdnWC3P5n,35,Male,Australia,FALSE,0.5,0.5,0.5,75.2900818983714,0,0,0,1,1,wheelbarrow,sun,tree,ice,beer,bank,bird,girl,tennis,woodpecker
R_3m1MdNbhuy8YfXr,35,Male,Australia,FALSE,1,1,1,86.5033284184479,2,2,2,2,4,love,percentage,wolf,capsicum,fart,nation,syndrome,goth,melonoma,sandal
R_3qxqcum5TR5cifZ,35,Female,Australia,FALSE,2,1.5,1.75,87.4017206951976,0,0,0,2,2,Book ,Fork ,Pansy ,Tinsel,Shell,Door mat,Toy car,Computer,Shoe,Piano
